Exe,Cycle
4.623000,71.743000
3.938000,46.116000
4.741000,60.636000
5.106000,69.046000
3.796000,48.840000
4.131000,98.640000
5.204000,51.395000
5.297000,35.415000
3.088000,47.988000
3.328000,71.530000
2.480000,45.950000
3.485000,60.812000
3.896000,68.947000
3.699000,46.321000
3.629000,61.382000
3.601000,72.700000
3.550000,44.921000
3.720000,62.187000
3.906000,69.750000
3.915000,46.877000
3.610000,60.356000
3.807000,71.484000
4.451000,46.587000
4.013000,60.551000
3.504000,60.003000
4.417000,58.032000
3.835000,59.992000
3.080000,60.732000
4.969000,57.655000
4.048000,61.968000
3.915000,58.790000
2.571000,45.757000
2.826000,60.721000
3.726000,73.266000
2.915000,44.163000
3.287000,60.805000
3.714000,71.508000
3.004000,45.266000
3.552000,61.556000
3.701000,71.533000
2.810000,45.832000
3.632000,61.288000
3.988000,72.159000
3.384000,45.006000
3.281000,61.794000
3.713000,72.239000
3.212000,47.440000
4.067000,58.932000
3.852000,70.907000
3.416000,48.918000
4.178000,61.308000
4.895000,84.408000
4.399000,33.328000
3.808000,65.454000
2.864000,62.846000
3.868000,51.188000
3.974000,58.152000
4.450000,60.362000
4.975000,58.120000
3.949000,59.143000
3.376000,62.099000
2.715000,45.837000
3.189000,62.924000
3.739000,70.331000
2.823000,48.273000
3.267000,59.182000
3.556000,69.299000
2.662000,46.192000
3.307000,60.937000
3.749000,71.343000
3.094000,46.398000
3.691000,60.928000
3.756000,70.315000
3.749000,45.227000
2.977000,59.689000
3.366000,69.162000
3.558000,46.725000
3.542000,60.564000
3.915000,70.117000
3.731000,47.337000
4.072000,60.307000
3.006000,72.085000
4.452000,45.812000
4.078000,60.534000
3.722000,73.380000
4.577000,48.388000
4.711000,57.962000
3.227000,59.948000
4.657000,56.241000
3.881000,59.517000
3.596000,62.528000
2.988000,46.330000
4.219000,62.144000
3.505000,72.197000
2.694000,43.913000
3.862000,96.050000
5.597000,58.126000
2.933000,22.759000
3.763000,61.428000
3.559000,79.075000
3.282000,37.399000
4.077000,60.234000
4.157000,72.562000
3.783000,45.613000
3.835000,61.465000
4.694000,79.666000
3.788000,38.206000
7.705000,63.920000
3.653000,65.413000
4.006000,48.103000
6.405000,62.124000
3.637000,69.860000
4.033000,46.189000
3.522000,58.770000
4.262000,60.546000
3.672000,58.078000
2.888000,53.048000
3.684000,68.870000
3.692000,45.037000
2.889000,61.490000
3.425000,70.075000
2.959000,45.158000
3.286000,62.356000
2.952000,114.733000
4.019000,59.956000
3.140000,69.982000
2.978000,46.769000
3.478000,60.437000
3.889000,85.912000
2.782000,37.253000
4.212000,56.089000
3.796000,69.844000
3.252000,46.673000
4.100000,60.099000
3.581000,70.976000
3.126000,45.444000
3.662000,61.063000
3.131000,71.444000
3.717000,44.398000
3.828000,60.651000
4.537000,82.801000
4.062000,33.698000
3.517000,59.407000
3.622000,64.516000
2.460000,44.891000
2.522000,60.831000
4.209000,73.660000
2.812000,43.687000
3.806000,61.134000
4.208000,69.861000
2.817000,44.681000
4.138000,61.841000
5.726000,73.433000
3.606000,42.295000
4.227000,58.691000
3.589000,73.239000
3.171000,41.615000
3.167000,64.091000
3.259000,65.536000
3.798000,45.120000
3.382000,59.923000
5.252000,79.460000
4.325000,38.274000
4.055000,60.584000
5.035000,81.791000
3.989000,37.720000
3.604000,53.930000
4.897000,64.495000
3.356000,53.563000
2.408000,48.506000
3.747000,72.273000
3.086000,42.942000
5.179000,116.807000
2.937000,58.819000
3.241000,61.454000
3.669000,79.449000
2.972000,36.627000
